cod,name,price,dilivery,link
323822,"Нож кухонный Tramontina, Multicolor, для томатов, нержавеющая сталь, 12.5 см, рукоятка пластик, 23512/915-TR",192 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/532862/
319984,"Нож кухонный Daniks, Ферра, универсальный, нержавеющая сталь, 12.5 см, рукоятка сталь, YW-A042-UT",329 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/537536/
111214,"Нож кухонный Tramontina, Multicolor, для овощей, нержавеющая сталь, 7.5 см, рукоятка пластик, 23511/213-TR",150 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/11051/
321967,"Нож кухонный для пиццы и теста, нержавеющая сталь, 5.5 см, рукоятка дерево, навеска, Y3-1068",129 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/533745/
323854,"Нож кухонный Tramontina, Multicolor, универсальный, нержавеющая сталь, 12.5 см, рукоятка пластик, 23527/915-tr",198 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/532863/
319985,"Нож кухонный Daniks, Ферра, для овощей, нержавеющая сталь, 9 см, рукоятка сталь, YW-A042-PA",299 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/537540/
323821,"Нож кухонный Tramontina, Multicolor, филейный, нержавеющая сталь, 12.5 см, рукоятка пластик, 23500/915-TR",192 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/532861/
280633,"Нож кухонный Tramontina, Dynamic, для стейка, нержавеющая сталь, 12.5 см, рукоятка дерево, 22321/205-TR",178 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/435838/
319979,"Нож кухонный Daniks, Скара, универсальный, нержавеющая сталь, 12.5 см, рукоятка пластик, YW-A341-UT",169 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/537528/
319983,"Нож кухонный Daniks, Ферра, разделочный, нержавеющая сталь, 20 см, рукоятка сталь, YW-A042-SL",425 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/537537/
319981,"Нож кухонный Daniks, Ферра, шеф-нож, нержавеющая сталь, 20 см, рукоятка сталь, YW-A042-CH",479 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/537539/
321979,"Нож кухонный для пиццы и теста, в ассортименте, нержавеющая сталь, 8 см, рукоятка пластик, навеска, Y3-1084",149 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/533746/
239330,"Нож кухонный Daniks, Эконом, универсальный, нержавеющая сталь, 13 см, рукоятка пластик, YWA054-UT/YW-A054-TY",99 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/10923/
248620,"Нож кухонный Daniks, Модерн, для овощей, нержавеющая сталь, 9 см, рукоятка пластик, YW-A040-PA/YW-A040G-PA",115 ₽,сегодня,https://poryadok.ru/catalog/nozhi_kukhonnye/89094/
